Operator,In Out Travelling,Network Type,Rating,Call Drop Category,Latitude,Longitude,State Name
RJio,Indoor,4G,1,Poor Voice Quality,28.8973158,76.57755599,Haryana
RJio,Indoor,4G,1,Poor Voice Quality,28.8973158,76.57755599,Haryana
BSNL,Indoor,Unknown,5,Satisfactory,17.61471891,83.1844498,Andhra Pradesh
BSNL,Indoor,Unknown,5,Satisfactory,17.81847411,83.3839864,Andhra Pradesh
Vodafone,Outdoor,Unknown,1,Poor Voice Quality,12.98526195,80.11332495,Tamil Nadu
Airtel,Indoor,Unknown,4,Satisfactory,22.80898233,86.19019144,Jharkhand
Airtel,Indoor,4G,1,Call Dropped,17.54472833,78.4893,Telangana
Airtel,Indoor,4G,1,Call Dropped,17.54547,78.48821,Telangana
Airtel,Indoor,4G,1,Call Dropped,17.54547,78.48821,Telangana
Airtel,Indoor,4G,5,Satisfactory,17.54547,78.48821,Telangana
RJio,Indoor,4G,1,Poor Voice Quality,28.8973158,76.57755599,Haryana
RJio,Indoor,4G,5,Satisfactory,-1,-1,NA
RJio,Indoor,4G,5,Satisfactory,-1,-1,NA
BSNL,Indoor,Unknown,4,Satisfactory,19.96227833,85.81833,Odisha
BSNL,Outdoor,Unknown,4,Satisfactory,19.96227833,85.81833,Odisha
Airtel,Indoor,4G,1,Poor Voice Quality,-1,-1,NA
Airtel,Indoor,Unknown,1,Poor Voice Quality,-1,-1,NA
Airtel,Indoor,Unknown,1,Call Dropped,-1,-1,NA
Airtel,Outdoor,4G,5,Satisfactory,26.12726273,89.46049075,West Bengal
Airtel,Outdoor,4G,5,Satisfactory,26.12726273,89.46049075,West Bengal
Airtel,Indoor,4G,5,Satisfactory,26.12726273,89.46049075,West Bengal
RJio,Indoor,4G,3,Satisfactory,26.311769,89.4508082,West Bengal
Airtel,Indoor,4G,5,Satisfactory,-1,-1,NA
RJio,Indoor,4G,3,Satisfactory,26.311769,89.4508082,West Bengal
Airtel,Outdoor,3G,2,Poor Voice Quality,13.0988621,79.1255428,Andhra Pradesh
Airtel,Travelling,4G,1,Poor Voice Quality,13.09893856,79.12540623,Andhra Pradesh
Airtel,Outdoor,4G,5,Satisfactory,26.12718703,89.46053252,West Bengal
RJio,Indoor,4G,4,Satisfactory,18.50395979,73.92798995,Maharashtra
Airtel,Outdoor,4G,5,Satisfactory,26.12718703,89.46053252,West Bengal
Airtel,Indoor,4G,5,Satisfactory,-1,-1,NA
Airtel,Indoor,4G,5,Satisfactory,26.12718703,89.46053252,West Bengal
BSNL,Indoor,Unknown,2,Poor Voice Quality,10.52167833,76.24920167,Kerala
Idea,Indoor,3G,1,Poor Voice Quality,18.45207933,73.85118678,Maharashtra
Airtel,Indoor,4G,5,Satisfactory,-1,-1,NA
Vodafone,Travelling,4G,1,Poor Voice Quality,-1,-1,NA
BSNL,Indoor,Unknown,5,Satisfactory,17.61717934,83.19050528,Andhra Pradesh
BSNL,Indoor,Unknown,4,Satisfactory,19.96227833,85.81833,Odisha
Airtel,Indoor,4G,5,Satisfactory,26.12727642,89.46058188,West Bengal
BSNL,Indoor,Unknown,5,Satisfactory,-1,-1,NA
Airtel,Indoor,4G,5,Satisfactory,26.12727642,89.46058188,West Bengal
Airtel,Indoor,4G,4,Satisfactory,22.8102682,86.2212312,Jharkhand
RJio,Indoor,4G,4,Satisfactory,22.48047448,88.40533094,West Bengal
RJio,Indoor,4G,3,Satisfactory,26.311769,89.4508082,West Bengal
BSNL,Indoor,Unknown,5,Satisfactory,17.61717934,83.19050528,Andhra Pradesh
Airtel,Indoor,4G,5,Satisfactory,29.92093948,77.82986788,Uttarakhand
RJio,Indoor,4G,4,Satisfactory,22.48047448,88.40533094,West Bengal
RJio,Indoor,4G,4,Satisfactory,22.48047448,88.40533094,West Bengal
Airtel,Indoor,4G,4,Satisfactory,22.8102682,86.2212312,Jharkhand
Airtel,Indoor,4G,5,Satisfactory,17.54547,78.48821,Telangana
